epoch,loss,acc,auc,model,lr,weight_decay,blur_size
1,0.6603316031396389,0.60175,0.6006580626265867,General PFN Classifier,0.00001,0.01,0.1
2,0.6368957813829184,0.6535,0.6227311351721952,General PFN Classifier,0.00001,0.01,0.1
3,0.6248596496880054,0.663,0.6350371345038685,General PFN Classifier,0.00001,0.01,0.1
4,0.6123139560222626,0.67725,0.6443143442133437,General PFN Classifier,0.00001,0.01,0.1
5,0.5935002285987139,0.695,0.656504391408526,General PFN Classifier,0.00001,0.01,0.1
6,0.589986365288496,0.7155,0.663872002217185,General PFN Classifier,0.00001,0.01,0.1
7,0.575585956685245,0.7285,0.6727007963720446,General PFN Classifier,0.00001,0.01,0.1
8,0.565592423081398,0.73475,0.682591351510933,General PFN Classifier,0.00001,0.01,0.1
9,0.563409399241209,0.72625,0.6895751628794154,General PFN Classifier,0.00001,0.01,0.1
10,0.5590414386242628,0.7385,0.6954411795713865,General PFN Classifier,0.00001,0.01,0.1
11,0.5450914688408375,0.73825,0.7016167495301031,General PFN Classifier,0.00001,0.01,0.1
12,0.5495135523378849,0.7425,0.7066603167864399,General PFN Classifier,0.00001,0.01,0.1
13,0.5448322854936123,0.75275,0.7108012921514388,General PFN Classifier,0.00001,0.01,0.1
14,0.5311024971306324,0.754,0.715285372500269,General PFN Classifier,0.00001,0.01,0.1
15,0.5245432890951633,0.75725,0.7193290991512362,General PFN Classifier,0.00001,0.01,0.1
16,0.5271523548290133,0.75975,0.72312938671309,General PFN Classifier,0.00001,0.01,0.1
17,0.5170517982915044,0.7665,0.7269922995263166,General PFN Classifier,0.00001,0.01,0.1
18,0.5203081043437123,0.76125,0.7299227182098582,General PFN Classifier,0.00001,0.01,0.1
19,0.5228611929342151,0.76,0.7320499826066577,General PFN Classifier,0.00001,0.01,0.1
20,0.5196749130263925,0.7545,0.7347268335493256,General PFN Classifier,0.00001,0.01,0.1
21,0.5180313568562269,0.76525,0.7372107689466431,General PFN Classifier,0.00001,0.01,0.1
22,0.5149456625804305,0.76075,0.7394536684646988,General PFN Classifier,0.00001,0.01,0.1
23,0.5225702282041311,0.7575,0.7409213890029727,General PFN Classifier,0.00001,0.01,0.1
24,0.49716741777956486,0.78,0.7433042109021712,General PFN Classifier,0.00001,0.01,0.1
25,0.5055230110883713,0.7775,0.7449855404823608,General PFN Classifier,0.00001,0.01,0.1
26,0.5120766311883926,0.77025,0.7463661220236674,General PFN Classifier,0.00001,0.01,0.1
27,0.5183133222162724,0.76125,0.7473996113141561,General PFN Classifier,0.00001,0.01,0.1
28,0.5104943495243788,0.767,0.748651025723026,General PFN Classifier,0.00001,0.01,0.1
29,0.5067322365939617,0.77025,0.7501358844298713,General PFN Classifier,0.00001,0.01,0.1
30,0.4914034213870764,0.78,0.7520584121417315,General PFN Classifier,0.00001,0.01,0.1
31,0.5014081867411733,0.7745,0.7535170318904004,General PFN Classifier,0.00001,0.01,0.1
32,0.5149766551330686,0.75275,0.754124987941016,General PFN Classifier,0.00001,0.01,0.1
33,0.5084490040317178,0.76775,0.7552019900474415,General PFN Classifier,0.00001,0.01,0.1
34,0.5044358922168612,0.77425,0.7563252671319,General PFN Classifier,0.00001,0.01,0.1
35,0.5222683772444725,0.75925,0.7568281320597194,General PFN Classifier,0.00001,0.01,0.1
36,0.49309044051915407,0.7715,0.7581493969968999,General PFN Classifier,0.00001,0.01,0.1
37,0.5042291413992643,0.7705,0.7588232242292582,General PFN Classifier,0.00001,0.01,0.1
38,0.5036121848970652,0.76825,0.7595659673984668,General PFN Classifier,0.00001,0.01,0.1
39,0.5015696492046118,0.7665,0.7605503599572327,General PFN Classifier,0.00001,0.01,0.1
40,0.5156942559406161,0.76175,0.761017188128651,General PFN Classifier,0.00001,0.01,0.1
41,0.5138014825060964,0.7625,0.761640589433475,General PFN Classifier,0.00001,0.01,0.1
42,0.511694467626512,0.7595,0.7621995321362289,General PFN Classifier,0.00001,0.01,0.1
43,0.5027951551601291,0.7735,0.7628848569037554,General PFN Classifier,0.00001,0.01,0.1
44,0.5041102897375822,0.766,0.7634839230882665,General PFN Classifier,0.00001,0.01,0.1
45,0.5075988247990608,0.76225,0.7639185341399878,General PFN Classifier,0.00001,0.01,0.1
46,0.4942276133224368,0.7775,0.7648665339304177,General PFN Classifier,0.00001,0.01,0.1
47,0.5009035812690854,0.762,0.7654524887894087,General PFN Classifier,0.00001,0.01,0.1
48,0.4927196819335222,0.7825,0.7662092328923867,General PFN Classifier,0.00001,0.01,0.1
49,0.5186687894165516,0.75675,0.7663406584888597,General PFN Classifier,0.00001,0.01,0.1
50,0.5024029323831201,0.7745,0.766807697878627,General PFN Classifier,0.00001,0.01,0.1
51,0.5092316195368767,0.7635,0.767118092138048,General PFN Classifier,0.00001,0.01,0.1
52,0.5019856207072735,0.77175,0.7674341250026963,General PFN Classifier,0.00001,0.01,0.1
53,0.5074902381747961,0.777,0.7677018921748683,General PFN Classifier,0.00001,0.01,0.1
54,0.5155726037919521,0.764,0.7678216025772269,General PFN Classifier,0.00001,0.01,0.1
55,0.5057359840720892,0.76,0.7682706981984747,General PFN Classifier,0.00001,0.01,0.1
56,0.49312456138432026,0.7785,0.7688099195824666,General PFN Classifier,0.00001,0.01,0.1
57,0.5184430601075292,0.7645,0.7687881037412526,General PFN Classifier,0.00001,0.01,0.1
58,0.49385616928339005,0.7795,0.7692020604618235,General PFN Classifier,0.00001,0.01,0.1
59,0.48441976960748434,0.785,0.7697611247340247,General PFN Classifier,0.00001,0.01,0.1
60,0.5007056593894958,0.768,0.769987628380766,General PFN Classifier,0.00001,0.01,0.1
61,0.5143196526914835,0.76675,0.7700537642776161,General PFN Classifier,0.00001,0.01,0.1
62,0.49183029122650623,0.782,0.7704445404294465,General PFN Classifier,0.00001,0.01,0.1
63,0.49515880830585957,0.774,0.7709021950401657,General PFN Classifier,0.00001,0.01,0.1
64,0.5021661147475243,0.7735,0.7710885746525025,General PFN Classifier,0.00001,0.01,0.1
65,0.4968785122036934,0.77375,0.7714034772201258,General PFN Classifier,0.00001,0.01,0.1
66,0.5090881530195475,0.76125,0.7716558375649105,General PFN Classifier,0.00001,0.01,0.1
67,0.5060664238408208,0.7675,0.7718681162741619,General PFN Classifier,0.00001,0.01,0.1
68,0.49361812975257635,0.78025,0.7721121754371703,General PFN Classifier,0.00001,0.01,0.1
69,0.507963071577251,0.77475,0.7722567091780124,General PFN Classifier,0.00001,0.01,0.1
70,0.49068979267030954,0.7825,0.7727322617625652,General PFN Classifier,0.00001,0.01,0.1
71,0.5203744126483798,0.76525,0.7728749936754017,General PFN Classifier,0.00001,0.01,0.1
72,0.49548613280057907,0.77275,0.7731348500954339,General PFN Classifier,0.00001,0.01,0.1
73,0.5020745592191815,0.782,0.7733345931254503,General PFN Classifier,0.00001,0.01,0.1
74,0.4985052486881614,0.77025,0.7736072669178733,General PFN Classifier,0.00001,0.01,0.1
75,0.5213953601196408,0.76575,0.7735853670551373,General PFN Classifier,0.00001,0.01,0.1
76,0.5056006126105785,0.7715,0.7736084659149712,General PFN Classifier,0.00001,0.01,0.1
77,0.5130572142079473,0.7625,0.7736607976749612,General PFN Classifier,0.00001,0.01,0.1
