epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.641466832844315,0.63275,0.6873554257667387,General PFN Classifier,0.00001,0.01,0.1,100000
2,0.6181334800021664,0.66465,0.7041917844641069,General PFN Classifier,0.00001,0.01,0.1,100000
3,0.6019097904490817,0.6772,0.7157006106272631,General PFN Classifier,0.00001,0.01,0.1,100000
4,0.596235489389699,0.67075,0.7213455742441865,General PFN Classifier,0.00001,0.01,0.1,100000
5,0.5954341896020683,0.68465,0.7256856538391334,General PFN Classifier,0.00001,0.01,0.1,100000
6,0.5874800583359542,0.684,0.7301413714611562,General PFN Classifier,0.00001,0.01,0.1,100000
7,0.5851646908529246,0.68835,0.7341008152125668,General PFN Classifier,0.00001,0.01,0.1,100000
8,0.5749491396223664,0.6941,0.7381533767005378,General PFN Classifier,0.00001,0.01,0.1,100000
9,0.5823646191578762,0.68535,0.7400690536497827,General PFN Classifier,0.00001,0.01,0.1,100000
10,0.5771857648138787,0.6957,0.7422281530022015,General PFN Classifier,0.00001,0.01,0.1,100000
11,0.5686284195465646,0.7028,0.7449196467788359,General PFN Classifier,0.00001,0.01,0.1,100000
12,0.5735400393130673,0.6965,0.7468015608927572,General PFN Classifier,0.00001,0.01,0.1,100000
13,0.576173183075182,0.70425,0.7481861151911803,General PFN Classifier,0.00001,0.01,0.1,100000
14,0.5736694480203519,0.69485,0.7493342497945933,General PFN Classifier,0.00001,0.01,0.1,100000
15,0.5704419297777164,0.70305,0.7508364923692589,General PFN Classifier,0.00001,0.01,0.1,100000
16,0.568498008570094,0.7025,0.7521526005694966,General PFN Classifier,0.00001,0.01,0.1,100000
17,0.5629430808079471,0.707,0.7535902180952752,General PFN Classifier,0.00001,0.01,0.1,100000
18,0.5712888434434392,0.6987,0.7544666727271145,General PFN Classifier,0.00001,0.01,0.1,100000
19,0.5642535891502526,0.7045,0.7555032613530828,General PFN Classifier,0.00001,0.01,0.1,100000
20,0.5713234824739444,0.70325,0.7561128074691651,General PFN Classifier,0.00001,0.01,0.1,100000
21,0.5635872545895303,0.7099,0.7571736846909699,General PFN Classifier,0.00001,0.01,0.1,100000
22,0.5634572959629593,0.7058,0.7579536214801006,General PFN Classifier,0.00001,0.01,0.1,100000
23,0.5636779510291519,0.7047,0.7585649839581322,General PFN Classifier,0.00001,0.01,0.1,100000
24,0.5687195005690217,0.69975,0.7590356753526668,General PFN Classifier,0.00001,0.01,0.1,100000
25,0.5690074883828498,0.69875,0.75940563541608,General PFN Classifier,0.00001,0.01,0.1,100000
26,0.5631582471215801,0.70815,0.760049556817334,General PFN Classifier,0.00001,0.01,0.1,100000
27,0.5806762071172143,0.6848,0.759759347070848,General PFN Classifier,0.00001,0.01,0.1,100000
28,0.5578020634544882,0.70245,0.7605530034397572,General PFN Classifier,0.00001,0.01,0.1,100000
29,0.5609191322022942,0.71065,0.7612542807134557,General PFN Classifier,0.00001,0.01,0.1,100000
30,0.5606977537179448,0.7087,0.7618837226444268,General PFN Classifier,0.00001,0.01,0.1,100000
31,0.5651301308801979,0.70385,0.7623234730665348,General PFN Classifier,0.00001,0.01,0.1,100000
32,0.55900033871839,0.7041,0.7628408073450622,General PFN Classifier,0.00001,0.01,0.1,100000
33,0.556805720564666,0.71385,0.7634766118462546,General PFN Classifier,0.00001,0.01,0.1,100000
34,0.5618731341544231,0.70665,0.7639528785131996,General PFN Classifier,0.00001,0.01,0.1,100000
35,0.5626078713092075,0.70755,0.7643594092154656,General PFN Classifier,0.00001,0.01,0.1,100000
36,0.555988423573743,0.70975,0.7648068652085809,General PFN Classifier,0.00001,0.01,0.1,100000
37,0.5603882769110856,0.7139,0.7652189677860458,General PFN Classifier,0.00001,0.01,0.1,100000
38,0.5543937242714463,0.71755,0.7657638198670561,General PFN Classifier,0.00001,0.01,0.1,100000
39,0.5504946655528561,0.7165,0.7663819411018149,General PFN Classifier,0.00001,0.01,0.1,100000
40,0.5626096666618517,0.7044,0.7666492641594157,General PFN Classifier,0.00001,0.01,0.1,100000
41,0.5559088940833025,0.7101,0.7670376865638396,General PFN Classifier,0.00001,0.01,0.1,100000
42,0.5639036354745269,0.7005,0.7671793962143191,General PFN Classifier,0.00001,0.01,0.1,100000
43,0.5535006458592263,0.7158,0.7676127161630141,General PFN Classifier,0.00001,0.01,0.1,100000
44,0.5659489056486993,0.70905,0.7677147760275139,General PFN Classifier,0.00001,0.01,0.1,100000
45,0.5533889099291176,0.7119,0.7680966096426433,General PFN Classifier,0.00001,0.01,0.1,100000
46,0.55109547771466,0.7099,0.7685165923450784,General PFN Classifier,0.00001,0.01,0.1,100000
47,0.5556583526028189,0.7112,0.7688587408277151,General PFN Classifier,0.00001,0.01,0.1,100000
48,0.5554795382888453,0.71165,0.7691869706105008,General PFN Classifier,0.00001,0.01,0.1,100000
49,0.5498182543903399,0.71645,0.7695988032677814,General PFN Classifier,0.00001,0.01,0.1,100000
50,0.5530404494066906,0.71185,0.7699277956377911,General PFN Classifier,0.00001,0.01,0.1,100000
51,0.5531420605197833,0.7179,0.7702827133856568,General PFN Classifier,0.00001,0.01,0.1,100000
52,0.5544771250266178,0.71595,0.7706161443430503,General PFN Classifier,0.00001,0.01,0.1,100000
53,0.5492032428455961,0.71485,0.7709332209019948,General PFN Classifier,0.00001,0.01,0.1,100000
54,0.5532894168689753,0.71255,0.7711665173914987,General PFN Classifier,0.00001,0.01,0.1,100000
55,0.5558781342901242,0.7131,0.7714254428304068,General PFN Classifier,0.00001,0.01,0.1,100000
56,0.5541751185420213,0.7083,0.7716568799623518,General PFN Classifier,0.00001,0.01,0.1,100000
57,0.5465596534643963,0.72095,0.7720413006920875,General PFN Classifier,0.00001,0.01,0.1,100000
58,0.5519315507381585,0.7163,0.7723238216348816,General PFN Classifier,0.00001,0.01,0.1,100000
59,0.5859311857041279,0.6898,0.772023394835524,General PFN Classifier,0.00001,0.01,0.1,100000
60,0.5592079777626475,0.7032,0.772107718432802,General PFN Classifier,0.00001,0.01,0.1,100000
61,0.5507322451111617,0.7168,0.7723526522131413,General PFN Classifier,0.00001,0.01,0.1,100000
62,0.5607840625723456,0.7074,0.7724833641406574,General PFN Classifier,0.00001,0.01,0.1,100000
63,0.5490102952073335,0.7141,0.7727770112426863,General PFN Classifier,0.00001,0.01,0.1,100000
64,0.5486961794886619,0.71495,0.7730608271690089,General PFN Classifier,0.00001,0.01,0.1,100000
65,0.549719434065424,0.71715,0.7732680643427614,General PFN Classifier,0.00001,0.01,0.1,100000
66,0.5448151969226303,0.7154,0.7735892123787627,General PFN Classifier,0.00001,0.01,0.1,100000
67,0.5596556933062851,0.7063,0.7736778446948859,General PFN Classifier,0.00001,0.01,0.1,100000
68,0.5466582344216147,0.718,0.773984035933617,General PFN Classifier,0.00001,0.01,0.1,100000
69,0.5628900552631184,0.70305,0.7740156234839668,General PFN Classifier,0.00001,0.01,0.1,100000
70,0.5458192502617076,0.7148,0.7742773807680038,General PFN Classifier,0.00001,0.01,0.1,100000
71,0.5450250982858573,0.71875,0.7745536882407765,General PFN Classifier,0.00001,0.01,0.1,100000
72,0.5441737638157644,0.72145,0.7748476015254089,General PFN Classifier,0.00001,0.01,0.1,100000
73,0.5532108642113437,0.71,0.7750170196263108,General PFN Classifier,0.00001,0.01,0.1,100000
74,0.549353225026161,0.71565,0.7751974235479642,General PFN Classifier,0.00001,0.01,0.1,100000
75,0.5487925757648079,0.7171,0.7753983505314795,General PFN Classifier,0.00001,0.01,0.1,100000
