epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference
1,0.6419639512896538,0.639,0.676338977118607,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
2,0.6420354768633842,0.62975,0.6774107324137779,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
3,0.6400527134537697,0.6275,0.677431904290601,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
4,0.6440230719745159,0.62575,0.677207932364505,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
5,0.6391730513423681,0.62825,0.6791431540804109,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
6,0.6281308624893427,0.63225,0.6816696070339479,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
7,0.6358920726925135,0.6245,0.6820694334268189,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
8,0.6390339732170105,0.632,0.6830402904470808,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
9,0.6203503794968128,0.649,0.6854581362564083,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
10,0.6239835787564516,0.64025,0.6872703018045014,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
11,0.6376844998449087,0.62075,0.6868422834503798,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
12,0.6396885998547077,0.6285,0.6861127512938893,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
13,0.6346634216606617,0.6325,0.6862760070652875,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
14,0.6313817538321018,0.63375,0.6865346150522118,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
15,0.6360923387110233,0.63,0.6863851882412182,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
16,0.6312670968472958,0.6345,0.6867289984560949,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
17,0.6399325877428055,0.61825,0.6862668642550568,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
18,0.6467119883745909,0.6205,0.6850850108718978,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
19,0.6328880023211241,0.6365,0.6854607326771244,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
20,0.6357874926179647,0.63425,0.6857026287010294,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
21,0.6392881460487843,0.618,0.6854420472677326,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
22,0.6302170641720295,0.6415,0.6858950352690626,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
23,0.6413871794939041,0.61875,0.6854301806696316,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
24,0.6320755984634161,0.6315,0.6856687297277277,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
25,0.6243200413882732,0.63575,0.686318681574802,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
26,0.6280160062015057,0.6405,0.6868188037418322,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
27,0.6371685843914747,0.61775,0.6864070570992862,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
28,0.6358440276235342,0.6315,0.686424278899024,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
29,0.6420658677816391,0.6195,0.6860279457769826,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
30,0.6387431118637323,0.618,0.6855902919762296,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
31,0.6429169494658709,0.61975,0.6849896896189462,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
32,0.6352558732032776,0.61275,0.6848588105972098,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
33,0.6407237593084574,0.629,0.6844856167615269,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
34,0.6426328159868717,0.6185,0.6841580185874532,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
35,0.6393450368195772,0.61325,0.6840329934417538,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
36,0.6391700878739357,0.625,0.6839292101669476,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
37,0.6424069534987211,0.62525,0.6836225608695955,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
38,0.634703790768981,0.6315,0.6838687984729704,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
39,0.6341439038515091,0.6345,0.6838252115633616,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
40,0.6344606745988131,0.63,0.6839374407735728,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
41,0.6435301098972559,0.62275,0.6836951258683718,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,
