epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.5712589976514221,0.7052,0.7650574166088538,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
2,0.5678403688843843,0.70695,0.7662177924359302,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
3,0.5667067272647931,0.70425,0.7674073263405818,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
4,0.5667630020220569,0.7081,0.7679312220270348,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
5,0.5669675588987435,0.70595,0.768311394613001,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
6,0.5646412201747772,0.7095,0.7692029400642603,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
7,0.5688105514095088,0.70225,0.7693824352617139,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
8,0.5667140303523677,0.7088,0.7696392588169678,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
9,0.5655579365742435,0.70675,0.7695782785184003,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
10,0.5663690481595932,0.70635,0.769786756292928,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
11,0.5610085545451777,0.71065,0.7700611577277511,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
12,0.5699467827939684,0.702,0.7697584986014029,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
13,0.5605324377679521,0.71345,0.7704659069983094,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
14,0.5571737581757223,0.71265,0.7710672106884441,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
15,0.5658540439074207,0.7083,0.7709871826077657,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
16,0.5697959016083153,0.7005,0.7704718683236027,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
17,0.5686690503624594,0.70895,0.7700539168715617,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
18,0.5723149379727187,0.69855,0.7697529573105057,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
19,0.5643107896777475,0.70565,0.7698219492131253,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
20,0.568374350572088,0.70425,0.7697012482897702,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
21,0.5634538216196048,0.71485,0.7696702271979918,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
22,0.5650196961916176,0.70485,0.7698231673908559,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
23,0.5751793936938997,0.70105,0.7695155436950728,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
24,0.5589603998099163,0.71095,0.7698074552733679,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
