epoch,loss,acc,auc,model,lr,weight_decay,blur_size,general_classifier_preference,db_size
1,0.575095832917341,0.7035,0.7649426058912868,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
2,0.5706335253016964,0.70345,0.7651327249983563,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
3,0.5688149794271797,0.70385,0.7654573364074905,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
4,0.5644708492194012,0.7098,0.7671530526562833,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
5,0.5693489155571931,0.7022,0.7671494085155662,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
6,0.5643691807795482,0.7093,0.7684875842252002,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
7,0.5723737449782669,0.69665,0.7683851182888867,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
8,0.5695758023459441,0.7086,0.7685499213444227,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
9,0.5668180273596648,0.70365,0.7687323002083043,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
10,0.5664968412772865,0.70635,0.7689444697514556,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
11,0.5619282113139037,0.7121,0.7693591943185085,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
12,0.5698821005547882,0.7022,0.7691248792599286,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
13,0.5617487645073301,0.71545,0.7697538068446799,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
14,0.5589198593501072,0.71385,0.7703763963574358,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
15,0.563619380354122,0.70915,0.7705132402119723,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
16,0.5638800299471352,0.7058,0.7705267748666904,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
17,0.5615046149606158,0.7166,0.7707511403670407,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
18,0.5657290131043476,0.7068,0.7708295370344489,Latent Space Pooled Hybrid Classifier,0.00001,0.01,0.1,,100000
