epoch,loss,acc,auc,model,lr,weight_decay,blur_size,db_size
1,0.6169674836905898,0.69175,0.7513685160532253,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
2,0.6049813620603768,0.69465,0.7491427958618018,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
3,0.6029558196948592,0.693,0.7483134611388282,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
4,0.5958614170930947,0.69885,0.7490813938289855,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
5,0.596467430044891,0.6949,0.7490562551523409,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
6,0.5915390788369878,0.6986,0.7488769764965157,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
7,0.5940966215103295,0.6969,0.7489105978407694,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
8,0.5863575857536049,0.699,0.7491227035853943,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
9,0.5841168309472928,0.70535,0.7494284597840294,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
10,0.5888185269513707,0.69555,0.7494281474801279,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
11,0.5844437889992051,0.7022,0.7492638770757574,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
12,0.5875222567160419,0.6975,0.7488834775255373,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
13,0.5800120507835582,0.7073,0.7490873118997313,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
14,0.5798101398595579,0.7043,0.7493925412374121,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
15,0.5836297482441944,0.6995,0.7493659247485589,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
16,0.5849578669116755,0.69615,0.7493311572792949,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
17,0.5810057074780677,0.703,0.7495799971784923,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
18,0.5867916653110723,0.698,0.7493331462808317,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
19,0.5837333462420543,0.7017,0.7493862316676714,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
20,0.5881753476562014,0.69725,0.7492445859782011,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
21,0.5766226476544787,0.706,0.7495621796849243,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
22,0.5868831593899211,0.69755,0.749482765309235,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
23,0.5840450147534632,0.6979,0.74952735861938,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
24,0.5811319954835685,0.70155,0.7496459138370823,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
25,0.5806467901369569,0.69975,0.7497998437704858,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
26,0.5765159528726226,0.7082,0.7501718103772745,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
27,0.5773628617927526,0.7031,0.7504174273024282,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
28,0.587182633816057,0.69645,0.7503164448504515,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
29,0.5813215044653339,0.7013,0.7504884732991836,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
30,0.5850286274958568,0.6994,0.750483811718941,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
31,0.5781386464264742,0.7053,0.7507076369450716,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
32,0.5838085414877363,0.6992,0.7506380242008593,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
33,0.5811519117871667,0.7004,0.7506640667775087,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
34,0.5812553924739741,0.7021,0.7507385668301494,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
35,0.5815238087040604,0.70395,0.7508084652100417,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
36,0.5794513426768552,0.70355,0.7509792152316929,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
37,0.5834460391360483,0.6978,0.7509765313846865,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
38,0.5835432398850751,0.70005,0.7510616072525422,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
39,0.5812332867437108,0.7039,0.7511313879890344,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
40,0.5882471613823228,0.6945,0.7510008609648103,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
41,0.5799251498690077,0.70475,0.7511252661390142,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
42,0.5850361335049769,0.7008,0.7511498433691539,Lorenz-invariant Classifier,1e-6,0.01,0.1,100000
